"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"USA.1_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.2_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.4_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.5_1",0.616009089091157,0.978992571900815,0.622720535699393,0.4,2,0,35,30,35,25,"N"
"USA.6_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.11_1",0.616009089091157,0.978992571900815,0.622720535699393,0.8,4,0,35,30,35,25,"N"
"USA.12_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.14_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.15_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.16_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.17_1",0.616009089091157,0.978992571900815,0.622720535699393,0.6,3,0,35,30,35,25,"N"
"USA.18_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.19_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.20_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.21_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.22_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.23_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.24_1",0.616009089091157,0.978992571900815,0.622720535699393,0.6,3,0,35,30,35,25,"N"
"USA.25_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.26_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.27_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.28_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.29_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.30_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.31_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.32_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.33_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.34_1",0.616009089091157,0.978992571900815,0.622720535699393,0.4,2,0,35,30,35,25,"N"
"USA.35_1",0.616009089091157,0.978992571900815,0.622720535699393,0.4,2,0,35,30,35,25,"N"
"USA.36_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.37_1",0.616009089091157,0.978992571900815,0.622720535699393,0.6,3,0,35,30,35,25,"N"
"USA.38_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.39_1",0.616009089091157,0.978992571900815,0.622720535699393,0.8,4,0,35,30,35,25,"N"
"USA.40_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.41_1",0.616009089091157,0.978992571900815,0.622720535699393,0.8,4,0,35,30,35,25,"N"
"USA.42_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.43_1",0.616009089091157,0.978992571900815,0.622720535699393,0.6,3,0,35,30,35,25,"N"
"USA.44_1",0.616009089091157,0.978992571900815,0.622720535699393,3,15,0,35,30,35,25,"N"
"USA.45_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.46_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.47_1",0.616009089091157,0.978992571900815,0.622720535699393,1,5,0,35,30,35,25,"N"
"USA.48_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.49_1",0.616009089091157,0.978992571900815,0.622720535699393,0.2,1,0,35,30,35,25,"N"
"USA.50_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"USA.51_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
