"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"HTI.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.6_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.8_1",0.933794788370275,0.996554330136858,0.933828984338662,0.6,3,0,30,30,30,30,"N"
"HTI.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HTI.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
